Player,Initial window,Window factor,Average evaluations,Min evaluations,Q1 evaluations,Median evaluations,Q3 evaluations,Maxevaluations,Average time (ms),Min time,Q1 time,Median time,Q3 time,Max time
MAsT_IEV_MI_5,50,4.5,376235,237316,328468,368031,417734,650616,102.562,68.535,92.451,100.750,111.387,173.490
MAsT_IEV_MI_5,50,5.0,375386,225577,330800,368175,414120,685959,102.952,68.658,93.435,101.267,110.427,172.168
MAsT_IEV_MI_5,50,6.0,373366,240344,326838,367103,407577,777520,101.800,69.962,91.899,100.229,109.726,171.700
MAsT_IEV_MI_5,50,7.0,377440,246861,332142,367968,414397,837882,102.690,74.109,92.341,101.399,110.186,195.715
MAsT_IEV_MI_5,50,8.0,375329,221623,329072,368326,412777,845693,102.220,66.805,92.134,100.852,110.405,182.600
MAsT_IEV_MI_5,50,9.0,375692,215953,329901,368582,412541,664529,102.158,67.308,92.300,100.778,110.058,163.095
MAsT_IEV_MI_5,50,10.0,373911,231762,332172,364349,405520,691036,101.641,70.979,92.396,100.161,109.310,194.410
MAsT_IEV_MI_5,50,20.0,384231,249159,335332,377104,423266,698940,103.692,73.244,93.475,101.862,112.126,173.077
MAsT_IEV_MI_5,50,50.0,379589,237260,329821,370764,420684,823905,102.505,71.341,92.512,101.704,111.182,182.067
MAsT_IEV_MI_5,50,100.0,373742,237844,329344,364234,412051,790210,100.839,66.326,91.469,99.557,108.516,173.818
MAsT_IEV_MI_5,50,200.0,377223,250662,330466,370600,412851,860706,101.701,68.210,92.614,99.989,109.235,188.211
MAsT_IEV_MI_5,50,500.0,389366,234108,343440,382111,425527,676441,103.257,71.907,93.771,101.384,111.382,157.157
MAsT_IEV_MI_5,50,1000.0,388459,243968,344285,381481,421487,757480,103.320,74.362,93.921,101.808,111.507,170.605
MAsT_IEV_MI_5,100,1.0,509281,245039,397851,477575,590832,1612307,136.879,76.939,111.678,130.246,154.727,328.024
MAsT_IEV_MI_5,100,1.1,447510,261701,378056,434749,502664,887380,121.593,73.226,104.051,117.527,134.745,264.037
MAsT_IEV_MI_5,100,1.2,424860,230552,360260,413898,474533,853881,116.338,72.967,99.911,112.876,128.446,249.541
MAsT_IEV_MI_5,100,1.5,394404,229117,342484,386251,435939,755645,108.707,71.456,95.443,105.623,119.117,238.256
MAsT_IEV_MI_5,100,1.75,383212,237289,336287,376153,420964,776388,105.655,73.556,94.354,103.030,114.186,213.028
MAsT_IEV_MI_5,100,2.0,376700,242688,329265,369153,413776,782147,103.976,71.989,93.195,101.573,112.411,195.418
MAsT_IEV_MI_5,100,2.25,376096,238617,328939,366824,412387,830011,103.850,71.283,92.955,101.914,112.785,169.001
MAsT_IEV_MI_5,100,2.5,375604,236216,329288,368373,414885,670486,103.682,73.558,92.678,101.259,112.755,188.874
MAsT_IEV_MI_5,100,2.75,372333,234079,325620,367483,405832,621908,102.481,68.151,92.480,100.419,110.840,164.963
MAsT_IEV_MI_5,100,3.0,375579,229644,330108,369515,411214,678285,102.832,70.049,91.832,100.999,111.370,181.777
MAsT_IEV_MI_5,100,3.5,375550,235951,330498,367646,411391,759758,103.043,70.210,92.875,101.873,111.220,165.624
MAsT_IEV_MI_5,100,4.0,372312,234843,327279,365923,406455,700510,101.961,71.396,91.755,100.246,110.271,197.589
MAsT_IEV_MI_5,100,4.5,372919,239520,325645,363986,410332,741415,102.507,70.718,91.952,100.313,111.058,171.131
MAsT_IEV_MI_5,100,5.0,370553,243595,328605,362659,408906,649509,101.466,69.334,92.449,100.375,108.631,167.249
MAsT_IEV_MI_5,100,6.0,375151,231142,327685,368653,413853,666871,102.196,69.921,91.921,100.704,110.982,161.415
MAsT_IEV_MI_5,100,7.0,377034,234846,330259,367800,414740,674737,102.407,68.313,91.542,100.686,110.808,155.795
MAsT_IEV_MI_5,100,8.0,375976,221888,327541,371034,414062,939862,102.233,68.093,91.735,100.930,111.283,177.507
MAsT_IEV_MI_5,100,9.0,376783,242424,329134,368803,415355,653100,102.678,69.827,91.986,100.857,111.636,167.599
MAsT_IEV_MI_5,100,10.0,374977,242469,330792,366267,412932,800436,103.286,70.950,93.228,101.985,111.521,197.948
MAsT_IEV_MI_5,100,20.0,380058,222270,333281,373380,419408,760778,102.668,68.275,92.454,101.239,110.483,184.205
MAsT_IEV_MI_5,100,50.0,374445,255408,328954,365694,413076,842088,101.086,73.042,91.469,99.737,109.272,173.048
MAsT_IEV_MI_5,100,100.0,377097,247137,334245,370186,408181,774102,101.586,70.429,92.598,99.840,109.805,182.295
MAsT_IEV_MI_5,100,200.0,383771,244414,336207,373450,423200,951691,102.883,69.369,93.449,101.498,110.380,205.879
MAsT_IEV_MI_5,100,500.0,387589,251477,340278,382078,421728,826848,104.721,71.320,95.521,103.889,112.143,173.241
MAsT_IEV_MI_5,100,1000.0,386836,246696,341263,378907,426721,768887,103.503,73.429,93.252,102.565,111.636,175.244
MAsT_IEV_MI_5,200,1.0,468358,235494,378005,455451,534508,1096676,126.106,72.914,106.234,121.685,140.478,261.001
MAsT_IEV_MI_5,200,1.1,426737,231864,360370,414943,479621,1077033,116.770,74.085,101.282,112.661,128.939,296.141
MAsT_IEV_MI_5,200,1.2,411005,242808,350269,398879,458268,930909,112.793,71.994,98.344,109.351,123.421,225.623
MAsT_IEV_MI_5,200,1.5,384300,226495,335906,378944,421911,731872,105.903,69.667,94.469,103.350,115.034,204.985
MAsT_IEV_MI_5,200,1.75,379693,227129,329944,370687,415574,740660,104.997,70.834,93.665,101.687,113.051,200.141
MAsT_IEV_MI_5,200,2.0,374192,223818,326084,363761,408614,940719,102.800,71.764,92.036,100.582,111.066,226.140
MAsT_IEV_MI_5,200,2.25,374497,223304,328674,366794,410165,670980,103.167,70.339,92.326,101.407,112.216,180.991
MAsT_IEV_MI_5,200,2.5,369368,228970,322741,360473,408207,685638,101.688,67.713,91.440,99.760,109.434,160.277
MAsT_IEV_MI_5,200,2.75,369860,241235,323955,364150,405035,643724,102.248,69.999,92.047,100.944,110.219,173.509
